title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
"Regulatory update: Delaware Public Service Commission; NextEra Energy Services Delaware, LLC , has issued ( 16-NE-0044-NDS ) Docket Filing Application",urn:contentItem:5HY8-H4S1-DXCW-D366-00000-00,2016-01-26,"January 26, 2016 Tuesday",128,9,U.S. Federal; Delaware,2016-01-26,US Official News,,News,Available,400469,USOFFN2016,227 words,,227,English,14126
Delaware Congressional Delegation Seeks Information From FBI on Recent Threats to Delaware Schools Sen. Thomas R. Carper (D- DE ) News Release,urn:contentItem:5HYG-XN51-JCCP-046V-00000-00,2016-01-27,"January 27, 2016",128,10,U.S. Federal; California; Delaware; Maryland; Massachusetts; New Hampshire; Virginia,2016-01-27,"Congressional Documents and Publications (Federal Information & News Dispatch, Inc.)",,News,Available,468349,CO2016,1096 words,,1096,English,14126
Delaware : DE Breast Cancer Coalition's 25th Anniversary Celebration,urn:contentItem:5J18-3V61-DXCW-D36R-00000-00,2016-02-04,"February 4, 2016 Thursday",130,1,U.S. Federal; Delaware; Maryland,2016-02-04,US Official News,,News,Available,400469,USOFFN2016,601 words,,601,English,15588
Delaware : Eligible DE students could save thousands in college tuition with Academic Common Market,urn:contentItem:5J12-2XB1-DXCW-D504-00000-00,2016-02-04,"February 4, 2016 Thursday",128,2,U.S. Federal; Alabama; Arkansas; Delaware; Florida; International; Kentucky; Louisiana; Maryland; Mississippi; Oklahoma; South Carolina; Tennessee; Texas; Virginia; West Virginia,2016-02-04,US Official News,,News,Available,400469,USOFFN2016,465 words,,465,English,15588
Delaware : Delaware Forest Service seeks trainees for wildfire classes,urn:contentItem:5HYS-7DY1-DXCW-D3KT-00000-00,2016-01-29,"January 29, 2016 Friday",128,3,U.S. Federal; Alaska; California; Delaware; Florida; Idaho; International; Minnesota; Nebraska; Nevada; New Mexico; New York; South Dakota; Utah; Virginia,2016-01-29,US Official News,,News,Available,400469,USOFFN2016,531 words,,531,English,15588
Delaware NREC Announces Registration for Mandatory Wild Turkey Hunting Course,urn:contentItem:5J0R-FYS1-JCMN-Y337-00000-00,2016-02-02,"February 2, 2016 Tuesday",128,4,U.S. Federal; Delaware; International,2016-02-02,AmmoLand.com,Vanessa Torres,News,Available,484224,AMMO-6755,361 words,Vanessa Torres,361,English,15588
"Regulatory update: Delaware Public Service Commission; Delmarva Power , has issued ( 16-DE-0069-NDS ) December 2015 - GCR Monthly Report",urn:contentItem:5J12-2WT1-DXCW-D3G2-00000-00,2016-02-04,"February 4, 2016 Thursday",127,5,U.S. Federal; Delaware,2016-02-04,US Official News,,News,Available,400469,USOFFN2016,307 words,,307,English,15588
Delaware :,urn:contentItem:5HYX-2JV1-DXCW-D2H4-00000-00,2016-01-29,"January 29, 2016 Friday",126,6,U.S. Federal; Delaware,2016-01-29,US Official News,,News,Available,400469,USOFFN2016,583 words,,583,English,15588
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 16-0127 ) Docket Filing Application",urn:contentItem:5J0M-2H61-DXCW-D2NW-00000-00,2016-02-02,"February 2, 2016 Tuesday",126,7,U.S. Federal; Delaware,2016-02-02,US Official News,,News,Available,400469,USOFFN2016,261 words,,261,English,15588
"Regulatory update: Delaware Public Service Commission; CMI Solar & Electric , has issued ( 16-0129 ) Docket Filing Application",urn:contentItem:5J0M-2H61-DXCW-D2P2-00000-00,2016-02-02,"February 2, 2016 Tuesday",126,8,U.S. Federal; Delaware,2016-02-02,US Official News,,News,Available,400469,USOFFN2016,271 words,,271,English,15588
Delaware : Ladies Night Out at Christiana Memorial Hall,urn:contentItem:5J18-3V61-DXCW-D36P-00000-00,2016-02-04,"February 4, 2016 Thursday",126,9,U.S. Federal; Delaware,2016-02-04,US Official News,,News,Available,400469,USOFFN2016,213 words,,213,English,15588
