Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2022-08-16,2.0,-0.5974,5
2022-08-17,1.0,0.003,17
2022-08-18,1.0,-0.0043,11
2022-08-19,4.0,0.2664,9
2022-08-22,0.0,-0.0667,6
2022-08-23,0.0,-0.3088,11
2022-08-24,0.0,-0.1923,9
2022-08-25,1.0,0.0085,6
2022-08-26,1.0,0.0078,13
2022-08-29,0.0,0.0,7
2022-08-30,0.0,-0.0096,14
2022-08-31,0.0,-0.0005,95
2022-09-01,0.0,-0.0007,13
2022-09-02,4.0,0.1091,14
2022-09-05,0.0,0.0,2
2022-09-06,0.0,0.0,12
2022-09-07,1.0,-0.1112,22
2022-09-08,1.0,-0.0056,16
2022-09-09,1.0,0.007,21
2022-09-12,0.0,0.0,9
2022-09-13,2.0,-0.143,26
2022-09-14,0.0,-0.2859,7
2022-09-15,1.0,0.0018,17
2022-09-16,3.0,0.0073,8
2022-09-19,0.0,0.0,8
2022-09-20,1.0,-0.0223,10
2022-09-21,0.0,-0.0039,12
2022-09-22,1.0,-0.0436,24
2022-09-23,0.0,-0.0113,9
2022-09-26,0.0,-0.0155,5
2022-09-27,0.0,-0.0049,10
2022-09-28,0.0,-0.0923,6
2022-09-29,1.0,-0.0018,11
2022-09-30,0.0,-0.0033,6
2022-10-03,0.0,-0.0169,8
2022-10-04,4.0,0.0504,23
2022-10-05,10.0,0.4614,12
2022-10-06,0.0,-0.4672,19
2022-10-07,1.0,-0.0506,21
2022-10-10,0.0,-0.0223,6
2022-10-11,0.0,-0.0039,18
2022-10-12,1.0,-0.0151,15
2022-10-13,0.0,-0.0003,16
2022-10-14,7.0,0.0235,61
2022-10-17,0.0,-0.0072,7
2022-10-18,17.0,-0.0263,19
2022-10-19,51.0,0.1879,103
2022-10-20,2.0,-0.0099,10
2022-10-21,0.0,-0.0163,13
2022-10-24,0.0,0.0,3
2022-10-25,1.0,0.0006,7
2022-10-26,2.0,0.0025,9
2022-10-27,1.0,0.0008,12
2022-10-28,1.0,0.0007,13
2022-10-31,0.0,0.0,38
2022-11-01,3.0,0.0126,8
2022-11-02,1.0,0.0001,11
2022-11-03,5.0,0.0264,5
